Procedure_Name,Total_Volume,Unique_Patients,Docs_Performing,Volume_Per_Doc
"Injection, testosterone cypionate, 1 mg",4311654.0,2901,109,39556.45871559633
"Injection, testosterone undecanoate, 1 mg",1765083.0,780,24,73545.125
"Established patient office or other outpatient visit, 30-39 minutes",889186.0,591678,2529,351.5958877026493
"Established patient office or other outpatient visit, 20-29 minutes",655925.0,480797,2498,262.580064051241
"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",625966.0,6056,170,3682.1529411764704
"Injection, onabotulinumtoxina, 1 unit",561480.0,2834,121,4640.330578512397
Automated urinalysis test,556328.0,354633,1159,480.006902502157
"Bcg live intravesical instillation, 1 mg",463423.7,3514,192,2413.665104166667
Ultrasound measurement of bladder capacity after voiding,445865.0,320975,1862,239.45488721804512
"Injection, denosumab, 1 mg",330243.0,1473,77,4288.87012987013
